sector,capacity_band,stage,deal_amount,stage_probability_pct,expected_close_date,fiscal_year,fiscal_quarter,is_closed,is_successful,opportunity_id,donor_id,contact_id
Government,50K-100K,Engagement,1000.0,18,2021-05-28,2021,2,True,False,opp_1166322,d716ac75-0170-4957-b864-d493e606613b,contact_9953621
Government,50K-100K,Committed,1000.0,100,2023-05-29,2023,2,True,True,opp_7830101,d716ac75-0170-4957-b864-d493e606613b,contact_8437652
Government,1M-2M,Engagement,1000.0,24,2026-03-02,2026,1,True,True,opp_4519347,d716ac75-0170-4957-b864-d493e606613b,contact_7327118
Government,1M-2M,Evaluation,1000.0,50,2019-01-27,2019,1,True,True,opp_9956955,d716ac75-0170-4957-b864-d493e606613b,contact_7468401
Government,100K-250K,Proposal,1000.0,64,2021-02-06,2021,1,True,True,opp_4034689,d716ac75-0170-4957-b864-d493e606613b,contact_7546705
Government,2M-5M,Engagement,1000.0,25,2022-02-09,2022,1,True,True,opp_4836614,d716ac75-0170-4957-b864-d493e606613b,contact_1984906
Nonprofit,1M-2M,Discovery,608.4,13,2025-11-27,2026,4,True,True,opp_2794731,0089f96e-a00c-42f0-bf9e-c4a2ba4d0e0b,contact_7469096
Healthcare,2M-5M,Engagement,1000.0,33,2027-02-17,2027,1,False,False,opp_8241664,91961d14-1d63-4588-84ff-c9e2135f0c7f,contact_8636435
Healthcare,2M-5M,Discovery,1000.0,5,2019-06-04,2019,2,True,False,opp_3705993,91961d14-1d63-4588-84ff-c9e2135f0c7f,contact_4158901
Healthcare,500K-1M,Negotiation,1000.0,88,2023-11-05,2024,4,True,True,opp_2392897,91961d14-1d63-4588-84ff-c9e2135f0c7f,contact_1620202
Healthcare,50K-100K,Discovery,1000.0,8,2020-09-21,2021,3,True,True,opp_3287366,91961d14-1d63-4588-84ff-c9e2135f0c7f,contact_1679204
Pharmaceuticals,1M-2M,Proposal,1000.0,71,2027-05-07,2027,2,False,False,opp_6755552,adac1451-aff4-4113-8f7e-cde7ca800fcc,contact_5534126
Pharmaceuticals,500K-1M,Discovery,1000.0,8,2020-07-26,2021,3,True,True,opp_6211937,adac1451-aff4-4113-8f7e-cde7ca800fcc,contact_1388338
Pharmaceuticals,1M-2M,Negotiation,1000.0,87,2027-07-13,2028,3,False,False,opp_3864036,adac1451-aff4-4113-8f7e-cde7ca800fcc,contact_3093073
Pharmaceuticals,500K-1M,Lost,1000.0,0,2022-06-26,2022,2,True,False,opp_2031312,adac1451-aff4-4113-8f7e-cde7ca800fcc,contact_6970199
Pharmaceuticals,50K-100K,Discovery,1000.0,20,2020-10-22,2021,4,True,True,opp_6505427,adac1451-aff4-4113-8f7e-cde7ca800fcc,contact_1981765
Energy,500K-1M,Proposal,1000.0,62,2020-07-16,2021,3,True,False,opp_9371990,59eb8589-3753-4f78-8ccd-48c11aff0171,contact_6830119
Energy,250K-500K,Committed,1000.0,100,2024-03-24,2024,1,True,True,opp_6244641,59eb8589-3753-4f78-8ccd-48c11aff0171,contact_4176924
Energy,50K-100K,Discovery,1000.0,10,2022-03-11,2022,1,True,True,opp_2892148,59eb8589-3753-4f78-8ccd-48c11aff0171,contact_1387023
Energy,2M-5M,Negotiation,1000.0,70,2026-07-24,2027,3,False,False,opp_2180131,59eb8589-3753-4f78-8ccd-48c11aff0171,contact_4512724
Energy,5M+,Discovery,1000.0,5,2025-11-06,2026,4,True,False,opp_2684943,59eb8589-3753-4f78-8ccd-48c11aff0171,contact_2378866
Energy,500K-1M,Lost,1000.0,0,2020-09-15,2021,3,True,False,opp_4862734,59eb8589-3753-4f78-8ccd-48c11aff0171,contact_6079338
Education,100K-250K,Lost,813.0,0,2024-10-18,2025,4,True,False,opp_9153984,80425b99-d78c-45b2-8cdd-e5e80c146fdb,contact_1980705
Education,1M-2M,Evaluation,813.0,39,2019-03-04,2019,1,True,True,opp_7955727,80425b99-d78c-45b2-8cdd-e5e80c146fdb,contact_6162377
Education,100K-250K,Rejected,813.0,0,2021-01-05,2021,1,True,False,opp_8989352,80425b99-d78c-45b2-8cdd-e5e80c146fdb,contact_5977899
Education,500K-1M,Lost,813.0,0,2022-08-28,2023,3,True,False,opp_5151880,80425b99-d78c-45b2-8cdd-e5e80c146fdb,contact_5279121
Education,2M-5M,Evaluation,813.0,39,2024-03-14,2024,1,True,False,opp_5774303,80425b99-d78c-45b2-8cdd-e5e80c146fdb,contact_7202917
Technology,500K-1M,Lost,1000.0,0,2026-07-04,2027,3,False,False,opp_3894497,fc3a5dfe-b4e3-46b7-9a30-203b130bcb06,contact_9773700
Pharmaceuticals,1M-2M,Discovery,1000.0,18,2027-12-18,2028,4,False,False,opp_2205852,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,contact_8090680
Pharmaceuticals,5M+,Committed,1000.0,100,2021-01-08,2021,1,True,True,opp_6793682,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,contact_8076718
Pharmaceuticals,50K-100K,Engagement,1000.0,35,2022-11-21,2023,4,True,False,opp_3831271,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,contact_4251222
Pharmaceuticals,250K-500K,Rejected,1000.0,0,2024-01-16,2024,1,True,False,opp_2624188,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,contact_2476407
Pharmaceuticals,1M-2M,Discovery,1000.0,17,2022-03-09,2022,1,True,True,opp_8330601,90457e4e-0f2f-4894-8b32-2e957b0fcb9b,contact_4014878
Healthcare,250K-500K,Engagement,615.2,25,2022-03-10,2022,1,True,False,opp_8165053,fd3de830-be83-42dc-83eb-ff10900f478c,contact_2019264
Healthcare,500K-1M,Proposal,615.2,51,2022-07-31,2023,3,True,False,opp_6260802,fd3de830-be83-42dc-83eb-ff10900f478c,contact_3487268
Healthcare,1M-2M,Discovery,615.2,18,2024-03-10,2024,1,True,True,opp_4463803,fd3de830-be83-42dc-83eb-ff10900f478c,contact_1046961
Healthcare,1M-2M,Engagement,615.2,33,2025-01-22,2025,1,True,False,opp_9854442,fd3de830-be83-42dc-83eb-ff10900f478c,contact_2933341
Healthcare,50K-100K,Proposal,615.2,64,2021-10-18,2022,4,True,True,opp_2891796,fd3de830-be83-42dc-83eb-ff10900f478c,contact_1383676
Agriculture,250K-500K,Negotiation,746.7333333333333,79,2023-01-09,2023,1,True,True,opp_7898974,5255782b-9a6f-40d5-be4a-97fcfb97a262,contact_6493086
Agriculture,50K-100K,Evaluation,746.7333333333333,47,2027-03-11,2027,1,False,False,opp_4541642,5255782b-9a6f-40d5-be4a-97fcfb97a262,contact_6619459
Healthcare,2M-5M,Rejected,341.2,0,2020-02-21,2020,1,True,False,opp_2223624,d8f3b350-96ec-45de-aac8-31d3216bb8f8,contact_4974021
Healthcare,1M-2M,Discovery,341.2,19,2026-08-14,2027,3,False,False,opp_6680136,d8f3b350-96ec-45de-aac8-31d3216bb8f8,contact_9764894
Healthcare,250K-500K,Discovery,341.2,12,2026-03-06,2026,1,True,False,opp_5549691,d8f3b350-96ec-45de-aac8-31d3216bb8f8,contact_3886748
Science & Research,250K-500K,Evaluation,647.4,32,2022-10-03,2023,4,True,False,opp_7333966,9afcfa31-7966-4f83-b01b-7641e72c5c4e,contact_1501593
Science & Research,50K-100K,Lost,647.4,0,2020-07-03,2021,3,True,False,opp_8041170,9afcfa31-7966-4f83-b01b-7641e72c5c4e,contact_9413836
Science & Research,500K-1M,Discovery,647.4,13,2024-09-06,2025,3,True,False,opp_8244170,9afcfa31-7966-4f83-b01b-7641e72c5c4e,contact_7850908
Others,5M+,Negotiation,1000.0,89,2026-10-04,2027,4,False,False,opp_2972293,bd47ac7d-9de4-48a7-9e88-f3feb0542461,contact_4155942
Nonprofit,5M+,Negotiation,20.0,76,2025-07-14,2026,3,True,True,opp_3709819,609eb136-da8f-4af6-9409-b08b94f4025e,contact_1706744
Nonprofit,250K-500K,Evaluation,20.0,41,2023-01-17,2023,1,True,False,opp_6587485,609eb136-da8f-4af6-9409-b08b94f4025e,contact_7161838
Nonprofit,100K-250K,Evaluation,20.0,55,2021-08-06,2022,3,True,True,opp_8329426,609eb136-da8f-4af6-9409-b08b94f4025e,contact_8582254
Nonprofit,250K-500K,Proposal,20.0,61,2020-12-21,2021,4,True,False,opp_7468834,609eb136-da8f-4af6-9409-b08b94f4025e,contact_1575589
Nonprofit,1M-2M,Rejected,20.0,0,2027-09-20,2028,3,False,False,opp_7119778,609eb136-da8f-4af6-9409-b08b94f4025e,contact_8514822
Government,50K-100K,Negotiation,579.8,83,2021-04-14,2021,2,True,False,opp_1864579,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,contact_7536864
Government,5M+,Rejected,579.8,0,2025-06-25,2025,2,True,False,opp_8318358,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,contact_2651742
Government,100K-250K,Rejected,579.8,0,2027-07-21,2028,3,False,False,opp_2302673,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,contact_4104553
Government,100K-250K,Proposal,579.8,69,2020-08-23,2021,3,True,False,opp_9689766,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,contact_4930144
Government,1M-2M,Engagement,579.8,31,2021-10-01,2022,4,True,False,opp_5974591,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,contact_2724565
Government,100K-250K,Committed,579.8,100,2023-11-21,2024,4,True,True,opp_1530446,ceb3d8a2-33a9-4081-9ebe-9c126fb43811,contact_8132547
Pharmaceuticals,2M-5M,Negotiation,503.8,82,2019-04-18,2019,2,True,True,opp_3297973,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,contact_5105695
Pharmaceuticals,5M+,Committed,503.8,100,2019-10-24,2020,4,True,True,opp_2116326,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,contact_3069398
Pharmaceuticals,1M-2M,Evaluation,503.8,33,2025-11-05,2026,4,True,True,opp_6512318,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,contact_3343544
Pharmaceuticals,100K-250K,Rejected,503.8,0,2022-02-02,2022,1,True,False,opp_6580067,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,contact_4030204
Pharmaceuticals,250K-500K,Committed,503.8,100,2026-11-24,2027,4,False,False,opp_8044451,945b1239-9d5c-4b8b-b6b5-7897c8b2a988,contact_2573444
Environment,500K-1M,Rejected,1000.0,0,2027-07-02,2028,3,False,False,opp_9349831,4b90e430-8ca3-4324-8a3f-f90a60fe71bc,contact_5961934
Environment,2M-5M,Proposal,1000.0,73,2024-10-14,2025,4,True,False,opp_7498361,4b90e430-8ca3-4324-8a3f-f90a60fe71bc,contact_7142731
Technology,2M-5M,Engagement,747.0,28,2020-01-07,2020,1,True,True,opp_9083613,0be9760e-d59c-4d96-8729-0709c4972f29,contact_1668852
Technology,2M-5M,Engagement,747.0,25,2020-09-02,2021,3,True,True,opp_2490884,0be9760e-d59c-4d96-8729-0709c4972f29,contact_7455075
Technology,1M-2M,Evaluation,747.0,53,2020-01-24,2020,1,True,True,opp_1415597,0be9760e-d59c-4d96-8729-0709c4972f29,contact_4870799
Finance/Banking,2M-5M,Rejected,832.2,0,2026-05-16,2026,2,False,False,opp_8532497,d64db6f1-8d9e-41b7-a570-bfc45ef85388,contact_7558840
Finance/Banking,1M-2M,Rejected,832.2,0,2024-02-01,2024,1,True,False,opp_2372205,d64db6f1-8d9e-41b7-a570-bfc45ef85388,contact_2542368
Finance/Banking,5M+,Rejected,832.2,0,2019-06-14,2019,2,True,False,opp_4798439,d64db6f1-8d9e-41b7-a570-bfc45ef85388,contact_9898829
Finance/Banking,100K-250K,Rejected,832.2,0,2023-03-14,2023,1,True,False,opp_4062946,d64db6f1-8d9e-41b7-a570-bfc45ef85388,contact_2738111
Finance/Banking,2M-5M,Evaluation,832.2,47,2024-06-08,2024,2,True,False,opp_5132401,d64db6f1-8d9e-41b7-a570-bfc45ef85388,contact_1766396
Environment,250K-500K,Committed,1000.0,100,2023-03-22,2023,1,True,True,opp_3850807,34c756ca-d207-4849-9bf1-5eb8f1594111,contact_8877782
Environment,1M-2M,Discovery,1000.0,12,2022-09-11,2023,3,True,False,opp_3174791,54b368d0-0683-440e-b294-e46a4ec2aff2,contact_8152601
Environment,2M-5M,Proposal,1000.0,73,2026-04-05,2026,2,False,False,opp_2337972,54b368d0-0683-440e-b294-e46a4ec2aff2,contact_2989393
Environment,5M+,Lost,1000.0,0,2023-09-18,2024,3,True,False,opp_6757814,54b368d0-0683-440e-b294-e46a4ec2aff2,contact_3612566
Finance/Banking,500K-1M,Rejected,1000.0,0,2024-08-02,2025,3,True,False,opp_4756678,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_8332909
Finance/Banking,500K-1M,Negotiation,1000.0,88,2021-08-02,2022,3,True,False,opp_9960355,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_9281609
Finance/Banking,1M-2M,Lost,1000.0,0,2024-09-07,2025,3,True,False,opp_8512389,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_8417322
Finance/Banking,2M-5M,Committed,1000.0,100,2019-01-30,2019,1,True,True,opp_6413756,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_9568951
Finance/Banking,5M+,Proposal,1000.0,57,2019-07-23,2020,3,True,True,opp_1338275,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_5242726
Finance/Banking,2M-5M,Committed,1000.0,100,2027-09-18,2028,3,False,False,opp_6331512,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_7584492
Finance/Banking,2M-5M,Discovery,1000.0,17,2022-12-01,2023,4,True,False,opp_5984080,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_9567409
Finance/Banking,100K-250K,Evaluation,1000.0,33,2027-12-23,2028,4,False,False,opp_5373735,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_4647915
Finance/Banking,250K-500K,Rejected,1000.0,0,2022-12-27,2023,4,True,False,opp_6856713,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_5923871
Finance/Banking,5M+,Engagement,1000.0,25,2024-06-20,2024,2,True,False,opp_3338044,0ddc2e39-1d77-4cc0-bb4b-1c853a6b2b71,contact_3503793
Pharmaceuticals,500K-1M,Proposal,1000.0,55,2025-07-29,2026,3,True,False,opp_6530976,9b536776-aad9-446d-b027-56d00d1d809d,contact_3030123
Pharmaceuticals,500K-1M,Proposal,1000.0,53,2021-06-11,2021,2,True,False,opp_7679367,9b536776-aad9-446d-b027-56d00d1d809d,contact_2994658
Pharmaceuticals,1M-2M,Engagement,1000.0,29,2026-05-24,2026,2,False,False,opp_8691471,9b536776-aad9-446d-b027-56d00d1d809d,contact_1466489
Pharmaceuticals,250K-500K,Evaluation,1000.0,43,2021-03-04,2021,1,True,False,opp_7281323,9b536776-aad9-446d-b027-56d00d1d809d,contact_9561653
Pharmaceuticals,1M-2M,Discovery,1000.0,18,2027-06-22,2027,2,False,False,opp_5193900,9b536776-aad9-446d-b027-56d00d1d809d,contact_3673176
Pharmaceuticals,5M+,Committed,1000.0,100,2021-05-07,2021,2,True,True,opp_2911811,a9a73872-8912-4132-97bb-a5cd5a682874,contact_4555937
Pharmaceuticals,500K-1M,Rejected,1000.0,0,2025-04-15,2025,2,True,False,opp_6650808,a9a73872-8912-4132-97bb-a5cd5a682874,contact_6869573
Pharmaceuticals,250K-500K,Committed,1000.0,100,2026-04-17,2026,2,False,False,opp_7532237,a9a73872-8912-4132-97bb-a5cd5a682874,contact_6534943
Hospitality,5M+,Committed,1000.0,100,2025-09-29,2026,3,True,True,opp_2443364,1a8f2b14-bdf0-45be-9be1-9fef25c16d32,contact_5023338
Logistics,2M-5M,Lost,1000.0,0,2022-03-08,2022,1,True,False,opp_6255742,fb431c6d-6e2d-4e81-b616-dbedbf7dfac5,contact_8848892
Healthcare,1M-2M,Proposal,983.8,75,2025-01-26,2025,1,True,True,opp_3340974,bb635c24-ed0a-4455-9bab-3ac1c5d1d552,contact_1568451
Healthcare,1M-2M,Lost,983.8,0,2022-11-01,2023,4,True,False,opp_4920622,bb635c24-ed0a-4455-9bab-3ac1c5d1d552,contact_1159313
Environment,5M+,Evaluation,1000.0,53,2022-03-15,2022,1,True,False,opp_7886328,e023d980-7417-4218-8f67-90adc6741de1,contact_2462741
Environment,2M-5M,Engagement,1000.0,28,2023-03-30,2023,1,True,False,opp_9041267,e023d980-7417-4218-8f67-90adc6741de1,contact_4713424
Environment,100K-250K,Proposal,1000.0,63,2023-09-29,2024,3,True,True,opp_9338014,e023d980-7417-4218-8f67-90adc6741de1,contact_3491191
Environment,5M+,Negotiation,1000.0,81,2020-05-07,2020,2,True,True,opp_8866655,e023d980-7417-4218-8f67-90adc6741de1,contact_2753321
Environment,2M-5M,Rejected,1000.0,0,2019-09-07,2020,3,True,False,opp_7347665,e023d980-7417-4218-8f67-90adc6741de1,contact_9760202
Environment,250K-500K,Discovery,1000.0,17,2024-02-08,2024,1,True,False,opp_3225628,e023d980-7417-4218-8f67-90adc6741de1,contact_5526839
Pharmaceuticals,50K-100K,Discovery,484.6,17,2022-09-20,2023,3,True,False,opp_6209336,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,contact_2805497
Pharmaceuticals,500K-1M,Discovery,484.6,11,2023-08-30,2024,3,True,True,opp_6909572,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,contact_6473280
Pharmaceuticals,5M+,Evaluation,484.6,41,2027-12-08,2028,4,False,False,opp_8042262,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,contact_8665978
Pharmaceuticals,250K-500K,Lost,484.6,0,2026-08-17,2027,3,False,False,opp_4558225,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,contact_3133087
Pharmaceuticals,5M+,Lost,484.6,0,2020-01-31,2020,1,True,False,opp_7860504,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,contact_5910865
Energy,1M-2M,Proposal,995.8,74,2021-06-25,2021,2,True,False,opp_6063786,01961b82-6f70-436a-b4be-f7704f5f3636,contact_8385778
Energy,500K-1M,Discovery,995.8,7,2023-05-25,2023,2,True,False,opp_4235452,01961b82-6f70-436a-b4be-f7704f5f3636,contact_9875907
Environment,2M-5M,Discovery,1000.0,13,2024-06-03,2024,2,True,False,opp_4799559,a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,contact_5617077
Environment,1M-2M,Negotiation,1000.0,73,2022-09-15,2023,3,True,True,opp_2696105,a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,contact_8856311
Environment,2M-5M,Engagement,1000.0,19,2022-01-22,2022,1,True,True,opp_4745518,a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,contact_5161590
Environment,100K-250K,Rejected,1000.0,0,2023-05-17,2023,2,True,False,opp_5600462,a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,contact_1641540
Nonprofit,50K-100K,Evaluation,20.0,49,2023-03-15,2023,1,True,True,opp_9847129,db8ef9b1-4cc0-44ce-8ca8-6df45fbfa1e6,contact_7884326
Nonprofit,5M+,Negotiation,20.0,81,2020-04-19,2020,2,True,True,opp_4001730,db8ef9b1-4cc0-44ce-8ca8-6df45fbfa1e6,contact_2167928
Nonprofit,5M+,Negotiation,20.0,83,2020-10-02,2021,4,True,True,opp_2046339,db8ef9b1-4cc0-44ce-8ca8-6df45fbfa1e6,contact_6743048
Energy,50K-100K,Engagement,1000.0,29,2022-09-06,2023,3,True,False,opp_8813963,59512354-2663-4d84-8db3-478daf2b04a5,contact_9061234
Energy,5M+,Discovery,1000.0,6,2019-06-01,2019,2,True,True,opp_6662522,59512354-2663-4d84-8db3-478daf2b04a5,contact_9373970
Energy,1M-2M,Rejected,1000.0,0,2026-08-19,2027,3,False,False,opp_5750011,59512354-2663-4d84-8db3-478daf2b04a5,contact_1225309
Science & Research,2M-5M,Proposal,464.20000000000005,50,2024-08-14,2025,3,True,True,opp_9927649,18e46e17-794f-49dd-82c4-d2e98ea60672,contact_9219953
Science & Research,5M+,Committed,464.20000000000005,100,2020-11-09,2021,4,True,True,opp_8476823,18e46e17-794f-49dd-82c4-d2e98ea60672,contact_4515149
Science & Research,2M-5M,Lost,464.20000000000005,0,2023-09-23,2024,3,True,False,opp_4612028,18e46e17-794f-49dd-82c4-d2e98ea60672,contact_6993099
Science & Research,50K-100K,Proposal,969.2,75,2023-05-20,2023,2,True,True,opp_9445608,cb51f47d-f8e5-4610-b243-d64d88112e4e,contact_8381123
Science & Research,1M-2M,Proposal,969.2,50,2019-04-19,2019,2,True,True,opp_1503345,cb51f47d-f8e5-4610-b243-d64d88112e4e,contact_7754883
Science & Research,500K-1M,Proposal,969.2,60,2020-12-03,2021,4,True,False,opp_5065627,cb51f47d-f8e5-4610-b243-d64d88112e4e,contact_5040279
Science & Research,50K-100K,Negotiation,969.2,77,2019-04-15,2019,2,True,True,opp_5651673,cb51f47d-f8e5-4610-b243-d64d88112e4e,contact_6576335
Education,1M-2M,Rejected,917.9499999999998,0,2021-02-14,2021,1,True,False,opp_9576579,904ff131-2d81-4434-9f76-5cd43fc3d336,contact_5694229
Education,250K-500K,Committed,917.9499999999998,100,2020-12-21,2021,4,True,True,opp_8638021,904ff131-2d81-4434-9f76-5cd43fc3d336,contact_7655811
Education,250K-500K,Lost,917.9499999999998,0,2026-08-27,2027,3,False,False,opp_1902271,904ff131-2d81-4434-9f76-5cd43fc3d336,contact_3770696
Education,1M-2M,Engagement,917.9499999999998,21,2024-08-29,2025,3,True,True,opp_7234615,904ff131-2d81-4434-9f76-5cd43fc3d336,contact_6684633
Science & Research,250K-500K,Evaluation,1000.0,46,2022-09-07,2023,3,True,False,opp_1264239,f34dc695-4f5e-4898-bd0a-1d0e62c275d0,contact_6288855
Science & Research,250K-500K,Discovery,1000.0,5,2025-02-17,2025,1,True,False,opp_3583839,f34dc695-4f5e-4898-bd0a-1d0e62c275d0,contact_6446589
Environment,2M-5M,Evaluation,1000.0,42,2024-10-19,2025,4,True,True,opp_3844365,e024d86a-f0fb-48bc-97f5-dd9b28e970bd,contact_8042774
Healthcare,50K-100K,Engagement,640.6,27,2022-12-13,2023,4,True,True,opp_4715985,27088b8d-c296-4a8e-a1c4-133a95c7f661,contact_3576205
Technology,250K-500K,Lost,1000.0,0,2020-07-02,2021,3,True,False,opp_8334432,65349738-4604-4ffc-97c9-d98d6bb7b986,contact_8105402
Technology,2M-5M,Discovery,1000.0,10,2020-07-24,2021,3,True,True,opp_3808040,65349738-4604-4ffc-97c9-d98d6bb7b986,contact_2347228
Technology,2M-5M,Proposal,1000.0,54,2027-04-19,2027,2,False,False,opp_1750363,65349738-4604-4ffc-97c9-d98d6bb7b986,contact_7459020
Finance/Banking,5M+,Engagement,1000.0,23,2021-01-04,2021,1,True,False,opp_8746330,4787c4cb-0c60-4b40-bb88-780f84ec34f3,contact_7868321
Finance/Banking,50K-100K,Lost,1000.0,0,2022-10-29,2023,4,True,False,opp_7749142,4787c4cb-0c60-4b40-bb88-780f84ec34f3,contact_8578966
Finance/Banking,5M+,Negotiation,1000.0,80,2020-12-08,2021,4,True,False,opp_3506741,4787c4cb-0c60-4b40-bb88-780f84ec34f3,contact_8220097
Technology,500K-1M,Negotiation,923.6,76,2025-07-19,2026,3,True,True,opp_5490354,71f2d85b-4519-43b0-b79d-0116066e8bb5,contact_5544969
Technology,50K-100K,Proposal,923.6,63,2025-12-11,2026,4,True,True,opp_5064528,71f2d85b-4519-43b0-b79d-0116066e8bb5,contact_1418493
Technology,1M-2M,Engagement,923.6,26,2027-05-05,2027,2,False,False,opp_1625666,71f2d85b-4519-43b0-b79d-0116066e8bb5,contact_2280150
Healthcare,5M+,Discovery,1000.0,11,2020-02-12,2020,1,True,False,opp_9754230,85fba29b-36c8-4115-95ba-3cacb10b8b87,contact_9386578
Healthcare,50K-100K,Negotiation,1000.0,82,2025-04-23,2025,2,True,True,opp_8618325,85fba29b-36c8-4115-95ba-3cacb10b8b87,contact_8629510
Healthcare,5M+,Negotiation,1000.0,71,2025-08-04,2026,3,True,True,opp_7528140,85fba29b-36c8-4115-95ba-3cacb10b8b87,contact_5523648
Healthcare,5M+,Negotiation,1000.0,82,2024-10-17,2025,4,True,True,opp_1598789,85fba29b-36c8-4115-95ba-3cacb10b8b87,contact_8905336
Science & Research,100K-250K,Proposal,417.59999999999997,74,2021-01-12,2021,1,True,True,opp_5903626,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_6018971
Science & Research,1M-2M,Engagement,417.59999999999997,29,2022-06-03,2022,2,True,False,opp_2745233,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_5897076
Science & Research,50K-100K,Proposal,417.59999999999997,74,2025-08-19,2026,3,True,True,opp_3362289,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_6574952
Science & Research,50K-100K,Rejected,417.59999999999997,0,2019-11-22,2020,4,True,False,opp_3193418,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_1685284
Science & Research,1M-2M,Discovery,417.59999999999997,12,2023-05-18,2023,2,True,False,opp_3454937,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_8869219
Science & Research,250K-500K,Proposal,417.59999999999997,57,2023-10-05,2024,4,True,True,opp_2772504,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_1635696
Science & Research,2M-5M,Lost,417.59999999999997,0,2021-05-24,2021,2,True,False,opp_9590974,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_2880906
Science & Research,2M-5M,Evaluation,417.59999999999997,44,2019-05-14,2019,2,True,False,opp_4218638,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_6716495
Science & Research,5M+,Evaluation,417.59999999999997,51,2027-01-28,2027,1,False,False,opp_4871665,237e816b-3c4d-4311-a85f-2b771fb958c0,contact_8483074
Environment,1M-2M,Committed,1000.0,100,2023-02-17,2023,1,True,True,opp_6403868,6f108800-1463-449f-bbc4-5906ea7fd1a2,contact_6071179
