donation_id,donor_id,donation_date,donation_type,donation_amount,payment_method,campaign
DON000039,fb431c6d-6e2d-4e81-b616-dbedbf7dfac5,2024-08-28,One-time,71.48,Paypal,Reforest the Sanctuary
DON000040,bb635c24-ed0a-4455-9bab-3ac1c5d1d552,2025-06-14,One-time,49.19,Bank Transfer,Marine Mammal Defense Mission
DON000041,e023d980-7417-4218-8f67-90adc6741de1,2024-09-20,One-time,53.68,Credit Card,Jungle Education Project
DON000042,3e9d5c1c-50ae-4107-ae6d-f626bed1c449,2024-10-15,One-time,24.23,Bank Transfer,Marine Mammal Defense Mission
DON000043,01961b82-6f70-436a-b4be-f7704f5f3636,2024-03-25,Recurring,40.79,Paypal,Defend the Great Apes
DON000044,01961b82-6f70-436a-b4be-f7704f5f3636,2025-06-15,Recurring,32.77,Paypal,Wildlife Rescue Van Drive
DON000045,01961b82-6f70-436a-b4be-f7704f5f3636,2024-12-25,Recurring,75.81,Paypal,Defend the Great Apes
DON000046,a696e3a2-4fa6-43d1-9c58-64aa37ea4f73,2024-07-16,One-time,63.35,Credit Card,Habitat for Hope
DON000047,db8ef9b1-4cc0-44ce-8ca8-6df45fbfa1e6,2023-10-15,One-time,1.0,Credit Card,Defend the Great Apes
DON000048,59512354-2663-4d84-8db3-478daf2b04a5,2024-06-03,One-time,64.99,Bank Transfer,Marine Mammal Defense Mission
DON000049,18e46e17-794f-49dd-82c4-d2e98ea60672,2024-07-07,One-time,23.21,Bank Transfer,Habitat for Hope
DON000050,cb51f47d-f8e5-4610-b243-d64d88112e4e,2023-06-28,One-time,48.46,Bank Transfer,Jungle Education Project
DON000051,904ff131-2d81-4434-9f76-5cd43fc3d336,2025-05-13,Recurring,9.91,Paypal,Marine Mammal Defense Mission
DON000052,904ff131-2d81-4434-9f76-5cd43fc3d336,2024-11-23,Recurring,70.71,Paypal,Rescue Orphaned Gorillas
DON000053,904ff131-2d81-4434-9f76-5cd43fc3d336,2023-10-12,Recurring,54.24,Paypal,Jungle Education Project
DON000054,904ff131-2d81-4434-9f76-5cd43fc3d336,2023-06-21,Recurring,48.73,Paypal,Rescue Orphaned Gorillas
DON000055,f34dc695-4f5e-4898-bd0a-1d0e62c275d0,2024-09-28,One-time,110.32,Credit Card,Reforest the Sanctuary
DON000056,e024d86a-f0fb-48bc-97f5-dd9b28e970bd,2024-07-28,One-time,145.41,Bank Transfer,Marine Mammal Defense Mission
DON000057,27088b8d-c296-4a8e-a1c4-133a95c7f661,2024-10-24,One-time,32.03,Paypal,Marine Mammal Defense Mission
DON000058,65349738-4604-4ffc-97c9-d98d6bb7b986,2025-05-09,One-time,81.5,Bank Transfer,Wildlife Rescue Van Drive
DON000059,4787c4cb-0c60-4b40-bb88-780f84ec34f3,2024-01-18,One-time,77.7,Paypal,Jungle Education Project
DON000060,71f2d85b-4519-43b0-b79d-0116066e8bb5,2023-10-10,One-time,46.18,Paypal,Reforest the Sanctuary
DON000061,85fba29b-36c8-4115-95ba-3cacb10b8b87,2023-11-08,One-time,77.0,Paypal,Reforest the Sanctuary
DON000062,237e816b-3c4d-4311-a85f-2b771fb958c0,2023-11-21,One-time,20.88,Bank Transfer,Marine Mammal Defense Mission
DON000063,6f108800-1463-449f-bbc4-5906ea7fd1a2,2024-04-22,One-time,88.13,Credit Card,Defend the Great Apes
DON000064,f9083353-c393-4457-9898-a5989c5a73f4,2023-07-02,One-time,53.15,Credit Card,Reforest the Sanctuary
DON000065,a47b275e-a951-4783-93e9-98916e1dbc08,2024-07-01,Recurring,45.76,Paypal,Jungle Education Project
DON000066,a47b275e-a951-4783-93e9-98916e1dbc08,2024-12-02,Recurring,49.42,Paypal,Reforest the Sanctuary
DON000067,5e8b774c-fe09-47a5-8a48-631f93737dd0,2024-11-21,Recurring,59.12,Bank Transfer,Defend the Great Apes
DON000068,5e8b774c-fe09-47a5-8a48-631f93737dd0,2023-07-11,Recurring,62.04,Bank Transfer,Marine Mammal Defense Mission
DON000069,5e8b774c-fe09-47a5-8a48-631f93737dd0,2024-07-13,Recurring,89.67,Bank Transfer,Marine Mammal Defense Mission
DON000070,5e8b774c-fe09-47a5-8a48-631f93737dd0,2023-07-26,Recurring,28.34,Bank Transfer,Marine Mammal Defense Mission
DON000071,5e8b774c-fe09-47a5-8a48-631f93737dd0,2024-04-07,Recurring,16.04,Bank Transfer,Reforest the Sanctuary
DON000072,09d21ff3-cd05-4f85-85ee-e78e72d93b95,2024-05-09,One-time,58.4,Bank Transfer,Jungle Education Project
DON000073,528bad60-e1ee-4090-acfd-7d26840d8b89,2025-03-27,One-time,118.63,Credit Card,Wildlife Rescue Van Drive
DON000074,7199f09c-110f-49e0-b05f-a14577512be7,2024-12-26,One-time,59.16,Paypal,Defend the Great Apes
DON000075,474fe919-8c9f-4e73-9329-859f384655bc,2024-08-19,One-time,11.47,Credit Card,Jungle Education Project
DON000076,ffa8aee4-fe52-4ac5-95fa-67b00230040e,2025-06-11,One-time,106.67,Paypal,Reforest the Sanctuary
DON000077,bacc9d6c-02f3-4fc0-a962-80b85bf51cfc,2024-03-17,One-time,21.52,Bank Transfer,Habitat for Hope
DON000078,eb60fc19-9dc3-4c64-8620-1539daa7893f,2024-09-30,One-time,116.58,Credit Card,Rescue Orphaned Gorillas
DON000079,6077ed6d-2728-42a3-a192-e5e90c0d5983,2024-02-28,One-time,78.77,Paypal,Defend the Great Apes
DON000080,c9b454df-f617-4259-9acc-8503fbc72069,2024-01-13,One-time,18.91,Bank Transfer,Wildlife Rescue Van Drive
DON000081,7e7014cf-6d51-4209-9ba2-c19e11552eee,2024-07-25,One-time,24.87,Credit Card,Marine Mammal Defense Mission
DON000082,854abfdd-69d1-47b9-9d0b-0e9219defc85,2024-04-15,One-time,66.56,Credit Card,Defend the Great Apes
DON000083,492c98c4-c571-414d-97ef-c8538d1d4d2f,2025-04-01,Recurring,55.82,Bank Transfer,Marine Mammal Defense Mission
DON000084,492c98c4-c571-414d-97ef-c8538d1d4d2f,2023-12-27,Recurring,25.37,Bank Transfer,Defend the Great Apes
DON000085,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-06-05,Recurring,54.49,Paypal,Reforest the Sanctuary
DON000086,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-08-05,Recurring,51.05,Paypal,Defend the Great Apes
DON000087,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2025-05-09,Recurring,90.0,Paypal,Jungle Education Project
DON000088,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-03-22,Recurring,80.39,Paypal,Defend the Great Apes
DON000089,e24f35d0-f22e-4971-8fc5-0b41cd415ae5,2024-06-30,Recurring,63.68,Paypal,Wildlife Rescue Van Drive
DON000090,ccea48f4-17d6-4efd-965c-a80af124c8d4,2024-04-20,Recurring,36.25,Bank Transfer,Reforest the Sanctuary
DON000091,ccea48f4-17d6-4efd-965c-a80af124c8d4,2024-03-18,Recurring,33.55,Bank Transfer,Marine Mammal Defense Mission
DON000092,dc1329df-162d-4390-91c6-5149642c263c,2025-03-15,One-time,40.39,Bank Transfer,Rescue Orphaned Gorillas
DON000093,8bd5afb8-2bb2-47d2-870d-55718df06224,2024-02-21,One-time,1.0,Bank Transfer,Marine Mammal Defense Mission
DON000094,bf1f7bda-0855-4b78-837b-9e3945ad6eb4,2024-06-13,One-time,97.19,Bank Transfer,Jungle Education Project
DON000095,796389f7-d755-4133-8243-ecf193b40619,2023-09-01,Recurring,90.03,Credit Card,Wildlife Rescue Van Drive
DON000096,796389f7-d755-4133-8243-ecf193b40619,2024-04-25,Recurring,6.33,Credit Card,Rescue Orphaned Gorillas
DON000097,796389f7-d755-4133-8243-ecf193b40619,2024-03-05,Recurring,11.59,Credit Card,Jungle Education Project
DON000098,efa2baf1-7365-43fe-a8e7-4ceb49045e72,2023-07-23,One-time,70.63,Paypal,Reforest the Sanctuary
DON000099,95dacfb1-abdd-4493-a201-45f218663d4c,2024-10-20,One-time,109.55,Paypal,Rescue Orphaned Gorillas
DON000100,528e4293-d237-47ce-9bab-a1326c6b3e5d,2025-01-21,One-time,24.93,Paypal,Defend the Great Apes
DON000101,e4ab2f32-be65-4bf7-8e2f-95b557b28e6f,2025-02-09,One-time,61.34,Paypal,Habitat for Hope
DON000102,def2db99-66ab-4edf-b456-6db4fdbe1c64,2023-11-18,Recurring,34.38,Bank Transfer,Defend the Great Apes
DON000103,def2db99-66ab-4edf-b456-6db4fdbe1c64,2024-01-27,Recurring,66.94,Bank Transfer,Jungle Education Project
DON000104,def2db99-66ab-4edf-b456-6db4fdbe1c64,2025-04-26,Recurring,17.61,Bank Transfer,Marine Mammal Defense Mission
DON000105,def2db99-66ab-4edf-b456-6db4fdbe1c64,2023-08-24,Recurring,34.33,Bank Transfer,Rescue Orphaned Gorillas
DON000106,def2db99-66ab-4edf-b456-6db4fdbe1c64,2023-07-25,Recurring,96.34,Bank Transfer,Marine Mammal Defense Mission
DON000107,79550888-d81c-43c4-9875-bf1d2cbee0ee,2024-09-19,One-time,87.26,Credit Card,Reforest the Sanctuary
DON000108,60f551f0-fc31-4b4c-8b93-b9537e5f9d04,2024-05-05,One-time,70.24,Credit Card,Jungle Education Project
DON000109,5ed5573f-937a-4517-903c-3af4cded5e21,2024-08-23,Recurring,41.68,Paypal,Jungle Education Project
DON000110,5ed5573f-937a-4517-903c-3af4cded5e21,2023-10-05,Recurring,72.04,Paypal,Marine Mammal Defense Mission
DON000111,5ed5573f-937a-4517-903c-3af4cded5e21,2024-11-27,Recurring,22.55,Paypal,Wildlife Rescue Van Drive
DON000112,5ed5573f-937a-4517-903c-3af4cded5e21,2023-09-26,Recurring,72.97,Paypal,Defend the Great Apes
DON000113,5ed5573f-937a-4517-903c-3af4cded5e21,2024-07-10,Recurring,24.26,Paypal,Marine Mammal Defense Mission
DON000114,a57dc02c-75da-4b8f-a250-e61d547aa607,2025-05-22,One-time,45.17,Bank Transfer,Rescue Orphaned Gorillas
DON000115,04d28a36-7802-441e-a613-1cea6f702c8c,2024-04-28,One-time,54.01,Bank Transfer,Reforest the Sanctuary
DON000116,4226782c-0dc8-46b1-8dff-39f7475f8128,2024-12-25,One-time,41.47,Bank Transfer,Wildlife Rescue Van Drive
DON000117,1aedfcf2-e2e1-479c-bd7d-357bcc3a22f8,2023-11-23,Recurring,45.38,Bank Transfer,Marine Mammal Defense Mission
DON000118,1aedfcf2-e2e1-479c-bd7d-357bcc3a22f8,2025-01-03,Recurring,21.8,Bank Transfer,Habitat for Hope
DON000119,7acb366e-872e-44a6-9c93-96c541cc5052,2024-11-15,One-time,3.54,Credit Card,Rescue Orphaned Gorillas
DON000120,459e5791-8f8b-4bf8-bf9f-d8b74e17c542,2024-06-06,One-time,18.68,Paypal,Marine Mammal Defense Mission
DON000121,2828e4ac-2d04-4ee6-b9f9-9fa30116ff02,2023-12-13,Recurring,86.06,Credit Card,Marine Mammal Defense Mission
DON000122,2828e4ac-2d04-4ee6-b9f9-9fa30116ff02,2024-10-26,Recurring,65.72,Credit Card,Reforest the Sanctuary
DON000123,2828e4ac-2d04-4ee6-b9f9-9fa30116ff02,2023-08-31,Recurring,13.66,Credit Card,Jungle Education Project
DON000124,d9565b05-b747-4090-aea0-68f30bf7261b,2024-06-15,Recurring,27.57,Credit Card,Jungle Education Project
DON000125,d9565b05-b747-4090-aea0-68f30bf7261b,2024-07-31,Recurring,45.2,Credit Card,Rescue Orphaned Gorillas
DON000126,d9565b05-b747-4090-aea0-68f30bf7261b,2023-09-07,Recurring,39.67,Credit Card,Rescue Orphaned Gorillas
DON000127,a18b195f-2716-4e7e-bb08-510b5dc3474d,2025-01-12,One-time,3.12,Bank Transfer,Rescue Orphaned Gorillas
DON000128,4a30b4dd-33fb-4a90-ab76-bdab071750e2,2025-02-22,Recurring,96.09,Credit Card,Rescue Orphaned Gorillas
DON000129,4a30b4dd-33fb-4a90-ab76-bdab071750e2,2023-09-06,Recurring,5.95,Credit Card,Habitat for Hope
DON000130,4a30b4dd-33fb-4a90-ab76-bdab071750e2,2024-01-12,Recurring,55.18,Credit Card,Reforest the Sanctuary
DON000131,4a30b4dd-33fb-4a90-ab76-bdab071750e2,2024-06-05,Recurring,19.24,Credit Card,Marine Mammal Defense Mission
DON000132,4a30b4dd-33fb-4a90-ab76-bdab071750e2,2023-10-10,Recurring,49.77,Credit Card,Jungle Education Project
DON000133,37a03447-1d00-4c98-8ad8-3ab540871dae,2025-03-03,Recurring,85.03,Paypal,Marine Mammal Defense Mission
DON000134,37a03447-1d00-4c98-8ad8-3ab540871dae,2023-10-02,Recurring,19.18,Paypal,Marine Mammal Defense Mission
DON000135,37a03447-1d00-4c98-8ad8-3ab540871dae,2024-10-17,Recurring,80.14,Paypal,Jungle Education Project
DON000136,37a03447-1d00-4c98-8ad8-3ab540871dae,2023-09-29,Recurring,22.21,Paypal,Rescue Orphaned Gorillas
DON000137,da597ce3-2423-4fea-9add-40ff192f4a1d,2024-03-20,One-time,41.97,Bank Transfer,Marine Mammal Defense Mission
DON000138,632aa978-18d5-4e66-8ae7-13dbe61988e3,2025-02-07,One-time,62.58,Credit Card,Rescue Orphaned Gorillas
DON000139,dc8de694-2970-42eb-b35a-97286d8529e2,2024-02-21,One-time,70.91,Bank Transfer,Jungle Education Project
DON000140,c50bedc7-0404-48e7-aa23-791bfe44acf6,2023-07-07,Recurring,63.24,Credit Card,Defend the Great Apes
DON000141,c50bedc7-0404-48e7-aa23-791bfe44acf6,2023-08-01,Recurring,65.73,Credit Card,Marine Mammal Defense Mission
DON000142,c50bedc7-0404-48e7-aa23-791bfe44acf6,2024-02-25,Recurring,89.72,Credit Card,Habitat for Hope
DON000143,c50bedc7-0404-48e7-aa23-791bfe44acf6,2024-08-24,Recurring,48.33,Credit Card,Defend the Great Apes
DON000144,d266bd64-68dd-41df-bbed-e8194ef3af58,2023-07-12,One-time,74.66,Credit Card,Wildlife Rescue Van Drive
DON000145,54dc145f-fbe8-4248-a72a-e0e300c87a33,2025-06-15,One-time,67.93,Paypal,Reforest the Sanctuary
DON000146,ca10fef9-639d-4e8f-a5bf-2ca35682dfad,2024-11-27,One-time,1.0,Paypal,Reforest the Sanctuary
DON000147,8d5e6023-9418-460a-8aa5-110db1538db8,2024-10-18,One-time,74.69,Credit Card,Defend the Great Apes
DON000148,d1f3e0a1-522c-499f-8af1-e13fb0fcb338,2024-08-21,One-time,76.91,Bank Transfer,Jungle Education Project
DON000149,536f23a3-8903-4808-9dc7-29a4ded5a413,2024-07-26,One-time,53.03,Credit Card,Marine Mammal Defense Mission
DON000150,be0ca197-2f19-431c-bcb2-fcaa296558e6,2023-11-19,One-time,74.57,Credit Card,Jungle Education Project
DON000151,aaa68f32-affd-47da-a910-e745dea424cb,2025-02-27,One-time,43.36,Paypal,Defend the Great Apes
DON000152,98e510c0-fcb0-467f-8c3e-16b1d47fa317,2024-04-08,One-time,79.67,Paypal,Habitat for Hope
DON000153,d20fb66f-2357-4381-8c72-f7f21f3cfe23,2024-05-19,One-time,33.69,Paypal,Jungle Education Project
DON000154,e7d2c86d-a95e-4963-a150-28a2996a70d0,2024-07-04,One-time,24.61,Paypal,Rescue Orphaned Gorillas
DON000155,f76af99a-01f3-43bb-8fce-2f8c6847c0f9,2024-06-03,One-time,141.11,Paypal,Defend the Great Apes
DON000156,9ecf52d6-760b-4531-be4c-d51faa45ad5c,2024-02-01,Recurring,12.63,Credit Card,Rescue Orphaned Gorillas
DON000157,9ecf52d6-760b-4531-be4c-d51faa45ad5c,2023-08-30,Recurring,29.84,Credit Card,Marine Mammal Defense Mission
DON000158,9ecf52d6-760b-4531-be4c-d51faa45ad5c,2023-11-23,Recurring,93.18,Credit Card,Marine Mammal Defense Mission
DON000159,2c72cb1d-dd9c-4534-a65a-8ec41aaa658d,2023-11-14,One-time,59.99,Paypal,Marine Mammal Defense Mission
DON000160,f59ca543-6dae-4746-ae90-4a97676ec166,2025-01-20,One-time,135.78,Paypal,Defend the Great Apes
DON000161,a9074edc-ce51-41bc-8a4a-22537c7c03ce,2024-01-12,One-time,29.59,Bank Transfer,Defend the Great Apes
DON000162,d7558b33-dc58-451f-a06c-347f09ef1b92,2024-07-08,Recurring,62.37,Paypal,Jungle Education Project
DON000163,d7558b33-dc58-451f-a06c-347f09ef1b92,2025-01-04,Recurring,22.79,Paypal,Jungle Education Project
DON000164,d7558b33-dc58-451f-a06c-347f09ef1b92,2023-08-02,Recurring,77.73,Paypal,Reforest the Sanctuary
DON000165,d7558b33-dc58-451f-a06c-347f09ef1b92,2023-07-11,Recurring,69.03,Paypal,Habitat for Hope
DON000166,bd598f47-2731-41c7-9601-7a08b645fee6,2023-08-17,One-time,118.07,Bank Transfer,Habitat for Hope
DON000167,81571118-fa4d-42b5-8189-1913e3f1a714,2023-11-30,One-time,61.65,Credit Card,Defend the Great Apes
DON000168,ce4ae05f-1074-4a15-8233-6a46bb48be63,2023-10-13,One-time,63.71,Paypal,Wildlife Rescue Van Drive
DON000169,d46e349b-c9c0-4cb1-ba42-b43b64a253ae,2024-01-30,One-time,58.82,Paypal,Jungle Education Project
DON000170,3ec95d00-c3be-4adf-987d-412c1baf4efa,2025-05-04,Recurring,65.17,Bank Transfer,Reforest the Sanctuary
DON000171,3ec95d00-c3be-4adf-987d-412c1baf4efa,2025-06-09,Recurring,99.75,Bank Transfer,Wildlife Rescue Van Drive
DON000172,3ec95d00-c3be-4adf-987d-412c1baf4efa,2024-06-13,Recurring,77.76,Bank Transfer,Rescue Orphaned Gorillas
DON000173,3ec95d00-c3be-4adf-987d-412c1baf4efa,2025-05-31,Recurring,73.02,Bank Transfer,Jungle Education Project
DON000174,3ec95d00-c3be-4adf-987d-412c1baf4efa,2024-01-09,Recurring,61.23,Bank Transfer,Reforest the Sanctuary
DON000175,359536d7-3dc2-4034-b28a-4fe7cf887624,2024-05-04,One-time,71.21,Credit Card,Rescue Orphaned Gorillas
DON000176,95fe6f69-bdba-428e-8f79-9e8ef5f2ff75,2024-08-08,One-time,50.41,Paypal,Rescue Orphaned Gorillas
DON000177,310fea10-71ad-488c-a190-a3edca16e21a,2025-05-23,One-time,39.71,Paypal,Defend the Great Apes
DON000178,697ead22-9db9-4c61-a0a1-6fb39be4ea57,2024-04-16,One-time,75.62,Credit Card,Defend the Great Apes
DON000179,f722b7ed-2f4f-4109-8abb-99982ed2af66,2025-06-12,One-time,55.88,Credit Card,Wildlife Rescue Van Drive
DON000180,890b1501-d5d8-4aad-b113-1d54e56850aa,2024-04-17,One-time,26.6,Credit Card,Rescue Orphaned Gorillas
DON000181,0cea3ea5-d375-4eb8-b83f-20d87cd53cc1,2024-03-29,One-time,49.77,Paypal,Defend the Great Apes
DON000182,84756145-20b4-4170-a7fa-b88d25c881d7,2024-06-28,One-time,58.44,Bank Transfer,Wildlife Rescue Van Drive
DON000183,0b864174-e6ae-4177-8640-095bf4b3f607,2024-06-16,One-time,105.17,Credit Card,Wildlife Rescue Van Drive
DON000184,24854900-87f9-477d-be03-12784991cacb,2023-11-09,Recurring,62.6,Credit Card,Reforest the Sanctuary
DON000185,24854900-87f9-477d-be03-12784991cacb,2023-08-31,Recurring,54.24,Credit Card,Rescue Orphaned Gorillas
DON000186,24854900-87f9-477d-be03-12784991cacb,2024-09-04,Recurring,32.92,Credit Card,Rescue Orphaned Gorillas
DON000187,24854900-87f9-477d-be03-12784991cacb,2024-03-22,Recurring,6.22,Credit Card,Marine Mammal Defense Mission
DON000188,24854900-87f9-477d-be03-12784991cacb,2023-10-04,Recurring,56.7,Credit Card,Reforest the Sanctuary
DON000189,7780ad5f-7bf9-4756-96ce-a149e527bb28,2023-10-11,One-time,51.54,Credit Card,Jungle Education Project
DON000190,270d45e7-3f7f-4351-aeff-f15e8c37a1bd,2025-01-08,One-time,134.0,Paypal,Jungle Education Project
DON000191,4b610be0-b7ab-4d5b-9b11-09d7e8677b1b,2024-09-23,One-time,115.48,Paypal,Habitat for Hope
DON000192,0c0aa8a6-bb97-4f59-b901-656d79d644d3,2023-07-30,One-time,38.13,Credit Card,Reforest the Sanctuary
DON000193,6ed487f5-4094-4561-bc4b-2546f4f9f723,2023-10-19,One-time,55.08,Bank Transfer,Marine Mammal Defense Mission
DON000194,26baaf8c-2ebf-400b-8f00-a117104f07d6,2023-12-19,One-time,39.91,Paypal,Reforest the Sanctuary
DON000195,56266605-06fe-4ecc-ae31-ef18828654c6,2023-09-22,One-time,15.58,Bank Transfer,Reforest the Sanctuary
DON000196,984ac5e9-f30c-4b6e-a696-04909cc11c82,2025-04-05,One-time,37.78,Credit Card,Defend the Great Apes
DON000197,3ff742a1-4889-49bc-a600-d2dc5679da8d,2024-01-15,One-time,101.62,Credit Card,Defend the Great Apes
DON000198,f1c64417-3dcf-4550-933f-172aef193355,2024-03-18,One-time,119.3,Bank Transfer,Jungle Education Project
DON000199,0e6535ee-f64b-4131-a606-3588915b69e0,2024-12-14,One-time,122.62,Paypal,Marine Mammal Defense Mission
DON000200,052f02c7-df90-486c-9f12-31ebf0622772,2024-05-15,One-time,111.96,Paypal,Habitat for Hope
DON000201,0d0566e2-86dd-4903-98b2-1e09ca3cbebb,2025-02-28,One-time,22.5,Credit Card,Marine Mammal Defense Mission
DON000202,396e01c5-95da-42a8-96f8-93fe793e0622,2025-05-16,One-time,46.57,Credit Card,Reforest the Sanctuary
DON000203,765731c3-0954-4d16-acca-7f7ca3997626,2023-11-01,One-time,148.56,Credit Card,Wildlife Rescue Van Drive
DON000204,dd20fff9-a59c-4c06-9f4e-c792045472b4,2023-08-16,One-time,42.21,Bank Transfer,Reforest the Sanctuary
DON000205,188c307f-3e3c-4c97-936e-47857953e216,2024-03-15,One-time,34.16,Credit Card,Jungle Education Project
DON000206,ca5e06fa-3049-4718-bf45-a49552fa2c9c,2024-08-05,One-time,84.96,Credit Card,Habitat for Hope
DON000207,24e5a5fe-984b-4d2a-a169-935fa955dd13,2023-07-21,Recurring,91.33,Bank Transfer,Wildlife Rescue Van Drive
DON000208,24e5a5fe-984b-4d2a-a169-935fa955dd13,2023-12-28,Recurring,8.44,Bank Transfer,Defend the Great Apes
DON000209,24e5a5fe-984b-4d2a-a169-935fa955dd13,2025-04-24,Recurring,91.08,Bank Transfer,Marine Mammal Defense Mission
DON000210,24e5a5fe-984b-4d2a-a169-935fa955dd13,2025-03-02,Recurring,66.97,Bank Transfer,Habitat for Hope
DON000211,120445cd-d806-4398-a716-b33c69ca4c20,2023-10-19,One-time,82.14,Bank Transfer,Rescue Orphaned Gorillas
DON000212,f2e5ed82-e7c2-4bfe-ac3d-f03bada1ef29,2025-03-11,One-time,36.23,Paypal,Defend the Great Apes
